Name,Type,Description,Example
carrierBookingReference,string,"Reference of the transport document for which to return the associated VGMs",HHL71800000
"transportDocumentReference",string,"Reference of the transport document for which to return the associated VGMs",HHL71800000
equipmentReference,string,"Reference of the equipment for which to return the associated VGMs",APZU4812090
updatedDateTimeMin,string,"Retrieve VGMs with an `updatedDateTime` at or after this timestamp",2025-01-23T01:23:45Z
updatedDateTimeMax,string,"Retrieve VGMs with an `updatedDateTime` at or before this timestamp",2025-01-23T01:23:45Z
limit,integer,"Maximum number of VGMs to include in each page of the response.",10
cursor,string,"Set to the value of the `Next-Page-Cursor` header of the previous response to retrieve the next page.",ExampleNextPageCursor
